run,speaker_id,count,mean,std,min,max
baseline,Ses01_F,722,3.891290792508637e-05,0.00031336317629013477,-0.0013894422310756966,0.001486553784860558
baseline,Ses01_M,750,4.809428950863213e-05,0.00032507798830899774,-0.0010756972111553786,0.0015014940239043823
baseline,Ses02_F,682,6.98598567606407e-05,0.00032524215831106917,-0.001043326693227091,0.0013570717131474099
baseline,Ses02_M,782,4.1595128437656036e-05,0.000323875667209623,-0.0008864541832669326,0.0018152390438247012
baseline,Ses03_F,835,5.952238948398025e-05,0.0003274648480721927,-0.001142928286852588,0.0015064741035856575
baseline,Ses03_M,869,5.437971932752306e-05,0.0003291187941340284,-0.0010707171314741034,0.0017380478087649402
baseline,Ses04_F,779,6.766899027765705e-05,0.00032841374016373917,-0.0010234063745019927,0.0013570717131474108
baseline,Ses04_M,885,6.222285997253924e-05,0.00031312415228282336,-0.0013122509960159354,0.0014093625498007958
baseline,Ses05_F,826,8.25993845441479e-05,0.00033840517951556643,-0.0010483067729083672,0.0015189243027888446
baseline,Ses05_M,901,5.895120959005269e-05,0.00032932134036167763,-0.0010657370517928274,0.0012674302788844615
jobs4,Ses01_F,722,3.947736293974609e-05,0.0005091053413749752,-0.004631474103585658,0.006557104913678618
jobs4,Ses01_M,750,2.6383355467020807e-05,0.0005804044044312145,-0.0033366533864541835,0.009744355909694557
jobs4,Ses02_F,682,3.6924637715024573e-05,0.0003537125435861229,-0.0018260292164674634,0.0027888446215139427
jobs4,Ses02_M,782,3.218158907422313e-05,0.0005565648410034861,-0.003652058432934928,0.006557104913678618
jobs4,Ses03_F,835,5.775301985670097e-05,0.0005842097475873327,-0.0037350597609561776,0.009727755644090307
jobs4,Ses03_M,869,1.1366119717524218e-05,0.0005263789484953636,-0.004764276228419654,0.005793492695883137
jobs4,Ses04_F,779,5.1036760105491614e-05,0.0006392701458048223,-0.005013280212483399,0.009661354581673309
jobs4,Ses04_M,885,6.68699964736159e-05,0.0008337680701090787,-0.005146082337317397,0.009794156706507306
jobs4,Ses05_F,826,3.45068475090759e-05,0.0006346347969346109,-0.002822045152722445,0.009711155378486058
jobs4,Ses05_M,901,3.191083243791389e-05,0.0005948792831936445,-0.0039508632138114215,0.009694555112881809
jobs8,Ses01_F,722,5.300818885124324e-05,0.0008334015439706009,-0.0027141434262948215,0.015537848605577692
jobs8,Ses01_M,750,3.920982735723771e-05,0.000547710017805493,-0.003909362549800797,0.008590637450199202
jobs8,Ses02_F,682,1.3509013798179723e-05,0.00046528964199668956,-0.0035607569721115527,0.006424302788844626
jobs8,Ses02_M,782,1.4647293180220315e-06,0.00042596186619736875,-0.0050049800796812755,0.006225099601593627
jobs8,Ses03_F,835,6.557601927618867e-05,0.0009492054474353984,-0.006449203187250997,0.015313745019920322
jobs8,Ses03_M,869,2.693483832220029e-05,0.0006438628579345844,-0.005652390438247012,0.014541832669322713
jobs8,Ses04_F,779,5.795176163126698e-05,0.0006108607009015887,-0.00298804780876494,0.01195219123505976
jobs8,Ses04_M,885,5.64690390978459e-05,0.0007541575471788876,-0.007495019920318728,0.009835657370517928
jobs8,Ses05_F,826,2.8065703288540763e-05,0.0007218412428236121,-0.007470119521912351,0.014541832669322713
jobs8,Ses05_M,901,3.037240604728699e-05,0.0004740433131162519,-0.00326195219123506,0.00951195219123506
