task,speaker_id,count,mean,std,min,max
er,Ses01_F,722,-0.06039287231890759,0.9624918041495814,-4.447571132952559,4.38602133594226
er,Ses01_M,750,-0.03219235230391149,0.9984737299418747,-3.4839064999822176,4.431910127988466
er,Ses02_F,682,0.03466036581293732,0.9989779764310488,-3.3844807838821,3.9883184715417985
er,Ses02_M,782,-0.05215445933486273,0.9947808129316352,-2.9026484673969315,5.3955747609588105
er,Ses03_F,835,0.0029089403670898117,1.0058049453926718,-3.690406064190143,4.447206392003869
er,Ses03_M,869,-0.012886718636735893,1.0108850238749905,-3.4686102359668145,5.158482668720075
er,Ses04_F,779,0.027931141725977594,1.0087194577867205,-3.3232957278204953,3.988318471541801
er,Ses04_M,885,0.011203407966496992,0.9617576443457536,-4.210479040713823,4.148929243703521
er,Ses05_F,826,0.07378969563887951,1.039408061985982,-3.3997770478975067,4.485447052042375
er,Ses05_M,901,0.0011545671407624883,1.0115071425501396,-3.4533139719514088,3.712985719264557
sid,Ses01_F,698,-0.09141324705250208,0.7166316107754075,-6.326206251716182,15.616374714461418
sid,Ses01_M,757,0.011723073806877257,0.9383667279547918,-1.6690053935886917,17.138921148849246
sid,Ses02_F,687,-0.003838375313513181,1.0576405763938388,-1.848128503516673,15.347690049569444
sid,Ses02_M,762,-0.018228438904645424,0.7114060329053836,-2.206374723372635,16.95979803892127
sid,Ses03_F,838,0.035870411644688606,1.1863074039078287,-2.3854978333006134,18.93015224812905
sid,Ses03_M,870,0.05438540141379217,1.0183157879113796,-1.6690053935886917,19.91532935273295
sid,Ses04_F,790,0.03402457941012064,0.8556518068065352,-1.579443838624699,17.76585203359718
sid,Ses04_M,893,-0.01657966056886684,1.2130610255723673,-3.281113382940513,20.004890907696936
sid,Ses05_F,826,-0.045512460809241005,0.7258867384973644,-2.743744053156574,18.5719060282731
sid,Ses05_M,910,0.02154277082500145,1.2576317068711023,-2.116813168408642,20.99006801230083
