task,speaker_id,count,mean,std,min,max
er,Ses01_F,722,3.891290792508637e-05,0.00031336317629013477,-0.0013894422310756966,0.001486553784860558
er,Ses01_M,750,4.809428950863213e-05,0.00032507798830899796,-0.0010756972111553786,0.0015014940239043823
er,Ses02_F,682,6.98598567606407e-05,0.0003252421583110693,-0.001043326693227091,0.0013570717131474099
er,Ses02_M,782,4.1595128437656036e-05,0.00032387566720962305,-0.0008864541832669326,0.0018152390438247012
er,Ses03_F,835,5.952238948398025e-05,0.00032746484807219246,-0.001142928286852588,0.0015064741035856575
er,Ses03_M,869,5.437971932752306e-05,0.0003291187941340281,-0.0010707171314741034,0.0017380478087649402
er,Ses04_F,779,6.766899027765705e-05,0.00032841374016373917,-0.0010234063745019927,0.0013570717131474108
er,Ses04_M,885,6.222285997253924e-05,0.0003131241522828236,-0.0013122509960159354,0.0014093625498007958
er,Ses05_F,826,8.25993845441479e-05,0.00033840517951556665,-0.0010483067729083672,0.0015189243027888446
er,Ses05_M,901,5.895120959005269e-05,0.00032932134036167785,-0.0010657370517928274,0.0012674302788844615
sid,Ses01_F,698,-9.596285345723122e-06,0.0001992418803590917,-0.0017430278884462158,0.004357569721115538
sid,Ses01_M,757,1.907824448572948e-05,0.0002608899028914244,-0.0004482071713147414,0.004780876494023903
sid,Ses02_F,687,1.4751764412510073e-05,0.0002940510773126136,-0.0004980079681274907,0.004282868525896414
sid,Ses02_M,762,1.0750959416925468e-05,0.00019778903632440033,-0.000597609561752989,0.004731075697211156
sid,Ses03_F,838,2.5791820783691014e-05,0.0003298237396795275,-0.0006474103585657375,0.005278884462151394
sid,Ses03_M,870,3.0939460548610156e-05,0.00028311778231954036,-0.0004482071713147414,0.005552788844621515
sid,Ses04_F,790,2.5278632306218172e-05,0.00023789304345132675,-0.00042330677290836624,0.004955179282868526
sid,Ses04_M,893,1.120936188058516e-05,0.00033726192940868374,-0.000896414342629482,0.005577689243027889
sid,Ses05_F,826,3.1653048821662553e-06,0.00020181504210992632,-0.0007470119521912356,0.005179282868525899
sid,Ses05_M,910,2.1808370911956573e-05,0.0003496537165100608,-0.0005727091633466138,0.005851593625498009
